1.      Table S1. Chemical composition and crystal structure parameters for the 106 samples.,,,,,,,,,,,,,,
,Sample,Amount of Liquid (µL) ± 1% dispensing error,,,,,Chemical concentration (at. %) ± standard deviation,,,,,Crystal structure,Lattice Parameter (A),Crystallite size
,,Y,Sm,La,Ce,Pr,Y,Sm,La,Ce,Pr,,,(nm)
SINGLE OXIDES,1,100,-,-,-,-,100,-,-,-,-,Ia-3(100%),10.57291,139.8
,2,-,100,-,-,-,-,100,-,-,-,Ia-3(100%),10.89494,159.2
,3,-,-,100,-,-,-,-,100,-,-,P63/m(100%),"a=6.49999, c=3.84036",151.4
,4,-,-,-,100,-,-,-,-,100,-,Fm-3m(100%),5.38825,150.2
,5,-,-,-,-,100,-,-,-,-,100,Fm-3m(100%),5.44705,180.4
BINARY OXIDES,6,50,50,-,-,-,49±3,51±3,-,-,-,Ia-3(100%),124.7,10.73466
,7,-,50,50,-,-,-,51±5,49±5,-,-,Fm-3m(38%),*5.75345,*104
,,,,,,,,,,,,P-3m1(35.6%),,
,,,,,,,,,,,,P63/m(17.8%),,
,,,,,,,,,,,,P4/nmm(8.5%),,
,8,-,-,50,50,-,-,-,51±3,49±3,-,"Fm-3m(95.1%),",*5.51203 ,*67.5
,,,,,,,,,,,,P321 (4.9%),,
,9,-,-,-,50,50,-,-,-,52±2,48±2,Fm-3m (100%),5.39365,109.1
,10,-,-,50,-,50,-,-,53±2,-,47±2,Fm-3m (95.2%),*5.53764,*102.9
,,,,,,,,,,,,Fm-3m-Y (3.7%),,
,,,,,,,,,,,,Fm-3m-Ce (1.1%),,
,11,50,-,50,-,-,53±3,-,47±3,-,-,Fm-3m (65.1%),*10.90395,*125.3
,,,,,,,,,,,,P4/nmm(29%),,
,,,,,,,,,,,,P63/mmc(5.9%),,
,12,50,-,-,-,50,49±3,-,-,-,51±3,Ia-3(100%),10.78689,100.6
,13,-,50,-,-,50,-,51±2,-,-,49±2,Ia-3(100%),10.88347,169.1
,14,-,50,-,50,-,-,50±1,-,50±1,-,Fm-3m(100%),5.44442,110.5
,15,50,-,-,50,-,53±3,-,-,47±3,-,Fm-3m(100%),5.36719,101.5
TERNARY OXIDES,16,-,50,50,-,50,-,33±2,35±2,-,32±1,Ia-3(99%),*11.01371,*88.4
,,,,,,,,,,,,P4/nmm(1%),,
,17,-,-,50,50,50,-,-,35±2,33±2,32±1,Fm-3m(100%),5.46875,73.6
,18,50,-,-,50,50,37±2,-,-,32±1,31±1,Fm-3m(100%),5.38385,88.1
,19,50,50,-,50,-,33±2,33±1,-,34±2,-,Fm-3m(100%),5.4024,77.5
,20,50,-,50,50,-,34±2,-,34±2,32±2,-,Fm-3m(100%),5.48594,48.3
,21,50,-,50,-,50,34±3,-,35±3,-,31±1,Fm-3m(100%),5.51504,81.6
,22,50,50,50,-,-,34±2,32±1,34±2,-,-,Ia-3(41%),*10.84606,*86.7
,,,,,,,,,,,,P4/nmm(27.4%),,
,,,,,,,,,,,,P63/m(16.6%),,
,,,,,,,,,,,,P-3C1(15%),,
,23,-,50,50,50,-,-,34±2,33±2,33±1,-,Fm-3m (98.9%),*5.50664,*93.4
,,,,,,,,,,,,"P4/nmm(1,1%)",,
,24,-,50,-,50,50,-,35±2,-,34±1,31±1,Ia-3(100%),10.95435,60.7
,25,50,50,-,-,50,35±2,33±1,-,-,32±2,Ia-3(100%),10.80213,126.4
QUATERNARY OXIDES,26,50,50,50,-,50,25±5,23±3,26±3,-,26±5,Ia-3(100%),10.90459,83.2
,27,-,50,50,50,50,-,25±2,26±2,25±1,24±1,Fm-3m(100%),5.49182,94
,28,50,-,50,50,50,27±1,-,26±1,24±1,23±1,Fm-3m(100%),5.47679,70.2
,29,50,50,-,50,50,27±1,25±1,-,24±1,24±1,Fm-3m(100%),5.41069,93.9
,30,50,50,50,50,-,25±2,24±1,27±2,24±1,-,Fm-3m(100%),5.47701,53.4
Doped with Ce,31,50,50,50,12.5,50,25±3,23±1,24±2,5±1,23±1,Ia-3(100%),10.95868,82.5
,32,50,50,50,25,50,23±4,23±3,22±3,11±1,21±2,Fm-3m(100%),5.49655,80.1
,33,50,50,50,37.5,50,20±2,21±2,23±2,15±1,21±1,Fm-3m(100%),5.48187,71.8
Doped with Y,34,12.5,50,50,50,50,5±1,24±2,24±2,24±1,23±1,Fm-3m(100%),5.49139,90.9
,35,25,50,50,50,50,10±1,22±1,24±1,23±1,21±1,Fm-3m(100%),5.48662,86.7
,36,37.5,50,50,50,50,15±2,21±1,23±1,21±1,20±1,Fm-3m(100%),5.48508,81.9
Doped with Sm,37,50,12.5,50,50,50,25±3,6±1,25±2,23±1,21±1,Fm-3m(100%),5.47359,73.7
,38,50,25,50,50,50,23±3,10±1,24±3,22±1,21±1,Fm-3m(100%),5.48112,75.5
,39,50,37.5,50,50,50,22±2,15±1,22±2,21±1,20±1,Fm-3m(100%),5.47173,77.9
Doped with La,40,50,50,12.5,50,50,26±2,23±1,6±1,23±1,22±1,Fm-3m(100%),5.43235,89.7
,41,50,50,25,50,50,25±2,21±1,11±1,22±1,21±1,Fm-3m(100%),5.45701,87.5
,42,50,50,37.5,50,50,21±2,21±1,16±2,21±1,21±1,Fm-3m(100%),5.45987,84.2
Doped with Pr,43,50,50,50,50,12.5,25±3,23±1,24±3,23±1,5±1,Fm-3m(100%),5.47296,57.5
,44,50,50,50,50,25,24±2,22±1,23±1,21±1,10±1,Fm-3m(100%),5.48452,62.1
,45,50,50,50,50,37.5,22±2,21±1,22±2,21±1,14±1,Fm-3m(100%),5.49842,70.6
Doped with,46,25,50,50,12.5,50,11±2,28±2,29±3,6±1,26±1,Fm-3m(100%),5.48942,88.7
Ce & Y,47,37.5,50,50,12.5,50,17±2,26±2,26±2,6±1,25±1,Fm-3m(100%),5.49175,82.1
,48,12.5,50,50,25,50,6±1,27±2,30±3,12±1,25±1,Fm-3m(100%),5.50687,100
,49,37.5,50,50,25,50,16±1,24±1,25±2,11±1,24±1,Fm-3m(100%),5.49675,84.9
,50,12.5,50,50,37.5,50,5±1,25±1,28±2,17±1,25±1,Fm-3m(100%),5.50623,94
,51,25,50,50,37.5,50,12±2,24±1,25±2,17±1,22±1,Fm-3m(100%),5.48862,85.4
Doped with,52,12.5,25,50,50,50,6±1,13±1,29±2,28±1,24±1,Fm-3m(100%),5.49107,81.2
Sm & Y,53,12.5,37.5,50,50,50,6±1,17±1,27±2,27±1,23±1,Fm-3m(100%),5.49239,86.7
,54,25,12.5,50,50,50,13±1,6±1,30±2,27±1,24±1,Fm-3m(100%),5.48344,73.9
,55,25,37.5,50,50,50,12±2,17±1,25±1,24±1,22±1,Fm-3m(100%),5.48714,84.5
,56,37.5,12.5,50,50,50,17±2,6±1,29±3,25±1,23±1,Fm-3m(100%),5.48289,73.2
,57,37.5,25,50,50,50,16±2,12±1,26±2,24±1,22±1,Fm-3m(100%),5.48685,75.5
Doped with,58,50,12.5,25,50,50,30±4,6±1,13±1,27±2,24±2,Fm-3m(100%),5.44105,80.7
Sm & La,59,50,12.5,37.5,50,50,26±2,6±1,18±2,26±2,24±1,Fm-3m(100%),5.46116,74.3
